HIP,RAhms,DEdms,Vmag,SpType,HD
3497,"00 44 39.04","-65 38 51.8",6.55,"G3V",4308
3504,"00 44 43.50","+48 17 03.8",4.48,"B5III",4180
3505,"00 44 44.44","-22 00 22.8",5.22,"F0V",4247
3509,"00 44 47.77","+67 09 30.0",6.9,"F8",4132
3517,"00 44 54.63","-63 11 47.5",6.94,"K4II/IIICNV:",4332
3521,"00 44 57.12","-42 40 34.8",5.94,"A7V",4293
3527,"00 44 59.72","-53 42 53.6",6.15,"F7III",4304
3532,"00 45 02.40","+62 31 43.0",6.62,"K0",4179
3544,"00 45 17.20","+55 13 17.1",5.41,"A2Vs",4222
3552,"00 45 24.10","-04 37 45.3",6.15,"M0III",4301
3559,"00 45 28.71","-12 52 49.1",6.15,"G2V",4307
3572,"00 45 39.11","+74 59 17.3",5.64,"A2IV",4161
3576,"00 45 41.70","-16 25 27.1",6.47,"F0IV",4338
3583,"00 45 45.43","-47 33 07.8",5.8,"G5IV",4391
3584,"00 45 45.95","+56 46 29.6",6.95,"F2Iab:",4266
3604,"00 46 10.80","+44 51 41.4",6.03,"B9.5IIIMNp.",4335
3607,"00 46 11.63","-22 31 19.4",5.49,"G8/K0III",4398
3611,"00 46 15.04","+55 18 19.4",6.51,"A2III",4321
3632,"00 46 32.98","+15 28 32.2",5.36,"M4III",4408
3637,"00 46 37.29","-30 11 27.3",6.81,"K2III",4471
3638,"00 46 37.78","+46 53 37.6",6.86,"K0",4385
3641,"00 46 38.23","+69 19 31.3",6.39,"F3V",4295
3649,"00 46 42.47","+59 34 28.3",6.41,"G0Ib",4362
3650,"00 46 44.80","+21 37 27.8",6.95,"F8IV",4432
3675,"00 47 01.43","+11 58 26.2",5.51,"G8II",4482
3685,"00 47 13.56","+19 34 43.3",6.11,"F0Vn",4490
3693,"00 47 20.39","+24 16 02.6",4.08,"K1II",4502
3697,"00 47 23.62","+06 44 27.5",5.98,"G8III",4526
3717,"00 47 43.20","-18 03 41.1",5.7,"K3III",4585
3719,"00 47 44.96","+26 17 29.9",6.93,"K0III",4550
3721,"00 47 46.02","+74 50 51.3",5.42,"B8III",4382
3730,"00 47 54.73","+20 55 31.1",6.51,"F8V",4568
3736,"00 47 59.03","+51 26 41.2",6.86,"A0",4536
3741,"00 48 01.05","-21 43 20.9",5.57,"B9V",4622
3750,"00 48 08.88","+72 40 28.0",5.86,"K0IV",4440
3755,"00 48 11.65","+65 07 10.7",6.91,"G5",4523
3760,"00 48 17.34","+07 17 59.7",5.92,"G8III",4627
3765,"00 48 22.53","+05 17 00.2",5.74,"K2V",4628
3781,"00 48 35.12","-74 55 24.1",5.09,"K5III",4815
3786,"00 48 40.90","+07 35 06.7",4.44,"K5III",4656
3787,"00 48 41.10","+52 06 03.0",6.82,"F8",4615
3788,"00 48 41.21","-28 29 43.1",6.78,"F0V",4691
3801,"00 48 49.99","+50 58 05.5",4.9,"B9III",4636
3807,"00 48 56.74","-46 41 51.7",6.28,"G8III",4737
3810,"00 48 58.71","+16 56 28.1",5.07,"F8V...",4676
3823,"00 49 04.66","+14 48 33.1",6.95,"K5",4698
3821,"00 49 05.10","+57 48 59.6",3.46,"G0V SB",4614
3834,"00 49 13.90","-24 08 11.5",5.9,"K0III",4732
3849,"00 49 25.55","-13 33 39.7",5.59,"K3III",4730
3858,"00 49 33.44","-23 21 43.6",6.27,"A3IV",4772
3865,"00 49 37.25","+47 45 50.4",6.66,"A2",4701
3881,"00 49 48.83","+41 04 44.2",4.53,"B5V SB",4727
3885,"00 49 53.11","+27 42 37.1",5.55,"F5III+...",4757
3889,"00 49 54.94","-00 13 26.8",6.64,"K0",4790
3901,"00 50 02.25","+70 46 27.0",6.9,"B9",4667
3903,"00 50 03.76","-43 23 41.8",6.49,"A9/F0III",4849
3909,"00 50 07.72","-10 38 37.6",5.17,"F7IV-V",4813
3919,"00 50 18.21","+45 00 08.1",6.13,"A0p...",4778
3949,"00 50 41.13","-50 59 12.9",5.24,"F2III",4919
3951,"00 50 43.57","+64 14 51.3",5.35,"A4V comp SB",4775
3961,"00 50 52.43","-71 09 05.5",6.86,"F5V",5028
3964,"00 50 56.04","+77 57 12.8",6.76,"A5",4666
3965,"00 50 57.27","+51 30 28.9",6.38,"F2IV",4818
3979,"00 51 10.69","-05 02 20.4",6.98,"G0",4915
3988,"00 51 16.39","+61 48 19.8",6.04,"K5Ib",4817
3992,"00 51 18.31","+03 23 06.6",6.39,"K0III",4928
3995,"00 51 19.88","-09 24 20.0",6.89,"F2",4939
4006,"00 51 25.93","+63 46 52.2",6.87,"B5Ia",4841
4023,"00 51 33.79","+51 34 17.2",6.22,"B9.5V",4881
4025,"00 51 34.84","+12 47 05.4",6.7,"F0",4935
4049,"00 51 52.15","-43 42 32.5",6.89,"F2/F3V",5042
4058,"00 51 57.09","+33 53 24.1",6.87,"K2",4961
4084,"00 52 24.51","-69 30 12.9",6.67,"F7IV/V",5190
4104,"00 52 40.60","-24 00 21.3",5.47,"K1III",5098
4127,"00 52 51.82","+40 14 43.6",6.76,"G0",5065
4129,"00 52 53.36","+38 32 55.9",6.7,"A2V",5066
4147,"00 53 00.49","-01 08 39.2",4.78,"M0III",5112
4151,"00 53 04.28","+61 07 24.8",4.8,"F8V",5015
4164,"00 53 12.39","-24 46 37.1",6.44,"F3V",5156
4185,"00 53 28.22","+37 25 05.9",6.07,"K3III:",5118
4197,"00 53 36.98","+29 29 21.9",6.7,"K0III",5137
4200,"00 53 37.78","-62 52 16.9",5.73,"M4III",5276
4207,"00 53 41.27","-04 31 32.1",6.53,"G5",5181
4212,"00 53 47.53","+52 41 21.6",6.27,"A5m",5128
4232,"00 53 59.04","-48 47 29.0",6.82,"G8III",5275
4257,"00 54 17.58","-08 44 26.0",6.15,"G5IV",5268
4267,"00 54 35.22","+19 11 18.4",5.8,"A1Vn",5267
4283,"00 54 52.76","+83 42 26.9",5.59,"A4V",4853
4288,"00 54 58.02","+23 37 42.4",5.46,"K1IV",5286
4291,"00 54 59.51","-74 18 09.5",6.68,"K0IV",5499
4292,"00 55 00.19","+58 58 22.1",4.83,"K2III",5234
4293,"00 55 00.30","-69 31 37.1",5.45,"G7III",5457
4298,"00 55 05.22","+48 40 42.8",6.28,"M2.5IIIa",5273
4311,"00 55 11.96","-47 24 19.9",6.73,"F6V",5388
4317,"00 55 14.66","+24 33 25.5",6.19,"M4III",5316
4346,"00 55 42.40","-07 20 49.3",5.88,"K5III",5384
4360,"00 55 52.95","-53 11 32.7",6.61,"K1IIICN...",5474
4363,"00 55 55.53","-27 46 33.0",6.11,"M1/M2III",5445
4366,"00 55 58.52","+27 12 33.7",6.08,"A5IV",5382
4371,"00 56 01.51","-11 15 59.4",5.35,"K4III",5437
4382,"00 56 09.12","+13 57 07.1",6.46,"G8II",5418
4383,"00 56 12.93","+57 59 47.7",6.2,"K3III",5343
4390,"00 56 14.80","+35 13 43.1",6.93,"A0",5397
4411,"00 56 30.68","+42 58 43.7",6.53,"K0",5431
4422,"00 56 40.01","+59 10 52.2",4.62,"G8III-IV",5395
4427,"00 56 42.50","+60 43 00.3",2.15,"B0IV:evar",5394
4436,"00 56 45.10","+38 29 57.3",3.86,"A5V",5448
4439,"00 56 46.87","-02 43 47.3",6.99,"F0",5506
4440,"00 56 46.94","+60 21 46.3",5.56,"B8V",5408
4446,"00 56 54.99","+68 46 32.7",6.39,"F0m",5357
4449,"00 56 55.46","+64 31 56.2",6.98,"F4Iab:",5392
4463,"00 57 12.43","+23 25 03.9",4.4,"G8III-IV",5516
4475,"00 57 19.53","+61 25 19.0",6.44,"G8IV",5459
4496,"00 57 37.75","-18 59 55.1",6.92,"A2V",5617
4501,"00 57 39.64","+45 50 21.8",6.1,"K2III",5526
4500,"00 57 39.65","+01 47 08.1",6.97,"G5",5588
4510,"00 57 50.15","+28 59 32.0",5.44,"G6III",5575
4511,"00 57 50.20","-01 45 57.5",6.56,"G5",5624
4520,"00 57 54.52","+13 41 45.2",6.3,"G8III",5612
4542,"00 58 09.88","+39 28 31.6",6.55,"K0",5597
4550,"00 58 12.71","+70 29 46.9",6.97,"B9",5490
4552,"00 58 14.19","+33 57 03.8",5.99,"K0",5608
4558,"00 58 18.90","+21 24 16.2",6.47,"A2V",5641
4559,"00 58 19.44","+06 50 39.6",6.74,"G5",5654
4563,"00 58 22.18","-60 41 46.7",6.23,"Am",5771
4572,"00 58 31.00","+66 21 06.6",5.97,"A0III",5550
4577,"00 58 36.35","-29 21 26.9",4.3,"B7IIIp",5737
4584,"00 58 43.10","+47 02 11.8",6.84,"A0",5638
4587,"00 58 43.89","-11 22 47.8",5.62,"G7III",5722
4592,"00 58 45.74","-05 52 57.4",6.57,"K0",5720
4608,"00 59 03.03","+27 39 25.6",6.99,"K3III",5705
4637,"00 59 32.27","+48 57 59.1",6.9,"F5",5728
4655,"00 59 49.67","+06 28 59.7",6.14,"M2III",5820
4675,"01 00 03.55","+44 42 47.9",5.69,"B9.5Vn",5788
4703,"01 00 27.98","+21 14 57.0",6.83,"K2",5871
4704,"01 00 29.59","+80 32 43.3",6.67,"F2",5534
4709,"01 00 30.87","+70 58 58.8",6.4,"A4IV",5715
4719,"01 00 35.30","-36 14 17.6",6.99,"K4III",5963
4726,"01 00 40.40","-01 39 30.9",6.85,"M4III",5919
4770,"01 01 18.23","-38 54 59.9",5.59,"K1III",6055
4771,"01 01 18.94","+45 27 07.6",6.86,"G8III-IV",5916
4772,"01 01 18.94","-60 51 37.4",6.91,"G1/G2V",6107
4786,"01 01 27.04","+49 32 39.2",6.48,"G5",5927
4789,"01 01 30.16","+69 21 30.7",6.67,"B9",5839
4794,"01 01 34.21","-38 12 52.4",6.61,"K0IIICNIV",6080
4801,"01 01 38.60","-16 15 55.3",6.47,"K2/K3III",6037
4809,"01 01 43.49","+25 17 32.1",6.71,"G8IV",6009
4811,"01 01 45.79","+57 49 00.1",6.77,"A2",5944
4829,"01 02 01.81","-57 00 08.7",6.12,"G8III",6192
4834,"01 02 07.62","+56 19 43.3",6.71,"K1III",5981
4843,"01 02 18.34","+81 52 32.1",6.9,"G8III",5679
4844,"01 02 18.47","+51 02 05.9",6.48,"A3V",6028
4852,"01 02 26.38","-31 33 07.4",5.5,"A1/A2IV",6178
4868,"01 02 35.57","+27 44 52.6",6.88,"F7V",6093
4878,"01 02 42.60","+09 07 58.8",6.83,"F5",6152
4879,"01 02 42.89","-65 27 22.0",6.25,"M2III",6311
4889,"01 02 49.09","+31 48 15.6",5.5,"B9.5V",6118
4890,"01 02 49.19","-46 23 50.4",5.39,"G8III",6245
4902,"01 02 53.78","+51 47 53.2",6.84,"B5",6084
4903,"01 02 54.28","+41 20 42.7",5.95,"A5m",6116
4906,"01 02 56.66","+07 53 24.3",4.27,"K0III",6186
4911,"01 03 01.47","+47 22 34.3",6.46,"A9V",6114
4914,"01 03 02.60","-04 50 10.9",5.4,"K0III-IV",6203
4932,"01 03 17.76","-29 31 32.8",6.28,"G8IIICN...",6269
4934,"01 03 18.04","-60 05 50.1",6.81,"F5V",6334
4935,"01 03 18.52","-41 01 16.0",6.99,"M3III",6290
4962,"01 03 37.01","+61 04 29.4",5.92,"F0II",6130
4961,"01 03 37.01","+58 54 33.3",6.75,"K5",6147
4965,"01 03 39.39","+84 36 24.9",6.74,"F5",5621
4979,"01 03 48.96","+01 22 01.0",6.06,"F1V",6288
4983,"01 03 53.36","+47 38 32.3",6.82,"B2IV-V",6226
4998,"01 04 02.39","+52 30 08.3",5.99,"K2",6211
5016,"01 04 16.74","+54 12 15.8",6.84,"G0",6250
5021,"01 04 19.55","+61 34 48.9",5.83,"F6V",6210
5026,"01 04 23.90","-47 56 25.3",6.84,"M1III",6413
5034,"01 04 27.57","+29 39 32.8",6.2,"F7IV-V",6301
5042,"01 04 32.61","-33 31 58.0",6.44,"K0III",6403
5045,"01 04 36.40","+39 59 28.2",6.77,"F0Vn",6314
5062,"01 04 46.78","+51 00 35.3",6.53,"B3V",6300
5070,"01 04 49.88","+74 22 19.7",6.82,"A0",6163
5074,"01 04 52.62","+05 39 22.7",6.03,"K5III",6386
5081,"01 05 05.35","+14 56 45.6",5.64,"F4II-III",6397
5121,"01 05 36.90","-09 58 45.3",6.09,"K0III",6482
5131,"01 05 40.93","+21 28 23.6",5.33,"A1Vn",6456
5132,"01 05 41.68","+21 27 55.7",5.55,"A0Vn",6457
5141,"01 05 49.22","+04 54 31.2",6.35,"F4V...",6479
5165,"01 06 05.11","-46 43 06.6",3.32,"G8IIIvar",6595
5164,"01 06 05.13","-09 50 21.7",5.58,"A1V",6530
5169,"01 06 06.34","-10 59 07.4",6.84,"G5",6546
5170,"01 06 07.73","-23 59 32.5",6.12,"K1III",6559
5175,"01 06 11.20","+32 10 53.6",6.28,"K0",6476
5186,"01 06 22.69","+62 45 41.3",6.52,"A5Vn",6416
5193,"01 06 26.53","-35 39 38.2",6.61,"A1V",6619
5198,"01 06 27.68","-39 51 22.8",6.64,"K4III",6629
5204,"01 06 33.62","+12 57 21.5",6.14,"G8III",6557
5209,"01 06 37.66","+08 21 36.5",6.93,"F0",6568
5232,"01 06 54.01","+59 51 31.1",6.87,"A2V...",6475
5233,"01 06 54.99","+70 55 53.1",6.63,"A2",6414
5240,"01 07 00.07","+56 56 06.9",6.41,"K2III...",6497
5248,"01 07 07.19","+20 09 03.9",6.99,"G5",6613
5251,"01 07 09.44","+53 29 53.5",6.31,"K0",6540
5259,"01 07 12.88","-23 59 46.5",6.36,"A3III",6668
5262,"01 07 13.87","+49 33 19.7",6.81,"A0",6564
5268,"01 07 18.57","-61 46 30.9",5.36,"G5III",6793
5296,"01 07 46.12","-09 47 08.1",5.71,"F7IV",6706
5300,"01 07 47.83","-41 29 13.0",5.21,"A3V",6767
5310,"01 07 57.11","+20 44 21.6",5.56,"A3V",6695
5315,"01 07 59.58","+01 59 38.7",6.44,"K0IV",6734
5317,"01 08 00.72","+43 56 32.1",5.04,"A3m",6658
5319,"01 08 01.20","+32 00 43.9",6.23,"F5IV",6680
5336,"01 08 12.92","+54 55 27.2",5.17,"G5Vp",6582
5339,"01 08 15.37","+28 52 05.4",6.86,"F0",6714
5344,"01 08 21.84","+09 54 29.5",6.71,"M...",6761
5346,"01 08 22.34","+05 39 00.8",5.51,"F0III-IV",6763
5348,"01 08 23.06","-55 14 45.0",3.94,"B6V + B0V",6882
5361,"01 08 33.45","+58 15 48.5",5.77,"B8V",6676
5363,"01 08 33.82","-46 40 04.9",6.89,"A9V",6869
5364,"01 08 35.26","-10 10 54.9",3.46,"K2III",6805
5372,"01 08 44.16","+86 15 25.6",4.24,"K2II-III",5848
5412,"01 09 12.29","+80 00 42.0",6.24,"K0",6473
5414,"01 09 13.07","+69 41 11.5",6.93,"B0.5III",6675
5434,"01 09 30.12","+47 14 30.6",4.26,"B7III",6811
5440,"01 09 35.02","+57 21 00.3",6.65,"F2",6795
5444,"01 09 39.14","+23 47 39.4",6.65,"F0",6886
5447,"01 09 43.80","+35 37 15.0",2.07,"M0IIIvar",6860
5454,"01 09 49.20","+19 39 30.2",5.57,"G0III",6903
5458,"01 09 52.24","+54 44 20.0",6.75,"G8III",6833
5465,"01 09 56.89","+33 52 53.1",6.97,"F5",6893
5477,"01 10 07.38","-57 41 38.9",6.41,"G6II/III",7082
5483,"01 10 11.43","+15 40 26.3",6.07,"M0III",6966
5485,"01 10 11.96","-08 54 21.7",6.4,"K0III",6976
5488,"01 10 15.62","-56 51 46.1",6.98,"F0IV",7097
5493,"01 10 18.85","+42 04 53.7",5.67,"F8V",6920
5494,"01 10 19.45","+25 27 28.9",5.81,"K5III",6953
5510,"01 10 33.56","+02 26 44.6",5.97,"K4III",7014
5512,"01 10 34.31","+51 00 47.8",6.9,"F5",6918
5518,"01 10 39.27","+68 46 43.3",5.32,"A0Vnn",6829
5531,"01 10 50.36","+67 46 48.1",6.55,"G0",6840
5542,"01 11 05.93","+55 08 59.8",4.34,"A7Vvar",6961
5544,"01 11 06.77","+31 25 29.2",5.15,"F0V",7034
5550,"01 11 10.29","+37 43 26.9",5.8,"B7III-IV",7019
5551,"01 11 10.58","+46 11 02.1",6.6,"K5",7011
5566,"01 11 25.52","+64 12 09.8",5.56,"B9.5V",6960
5571,"01 11 27.19","+21 02 04.8",4.66,"K0III",7087
5575,"01 11 28.97","+10 17 30.9",6.49,"G5",7107
5586,"01 11 39.59","+30 05 23.0",4.51,"K0III-IV...",7106
5589,"01 11 41.37","+65 01 08.0",5.57,"B9IV",6972
5594,"01 11 43.54","-02 15 03.7",5.93,"K4III",7147
5626,"01 12 16.51","+79 40 26.3",5.6,"A3V",6798
5631,"01 12 19.20","+12 16 55.0",6.89,"F5",7193
5636,"01 12 23.29","-30 48 07.1",6.54,"F5IV",7259
5646,"01 12 30.75","+02 28 18.6",6.55,"F8",7218
5650,"01 12 34.06","+45 20 14.9",6.13,"M1III",7158
5661,"01 12 45.37","-37 51 23.1",5.95,"A9IV: (+F/G)",7312
5665,"01 12 46.71","-35 12 19.9",6.97,"K0III",7311
5666,"01 12 47.74","-06 47 00.0",6.59,"G5",7268
5679,"01 12 59.46","+30 03 51.5",6.24,"G1V...",7229
5688,"01 13 09.82","+61 42 22.3",6.4,"B9V",7157
5694,"01 13 16.18","+34 05 54.3",6.73,"B8",7254
5717,"01 13 32.78","+29 44 10.7",6.74,"G8III-IV",7299
5737,"01 13 43.80","+07 34 31.8",5.21,"A7IV",7344
5742,"01 13 44.94","+24 35 01.6",4.67,"K0III...",7318
5743,"01 13 45.17","+07 34 42.2",6.44,"F7V",7345
5764,"01 14 01.17","-13 28 31.2",6.88,"F0IV/V",7398
5772,"01 14 04.87","+28 31 46.9",6.33,"M2S SB",7351
5778,"01 14 07.65","+16 08 00.8",5.97,"B8III",7374
5799,"01 14 23.97","-07 55 24.6",5.14,"F5V",7439
5824,"01 14 42.40","+06 59 42.7",6.04,"G6III:",7446
5833,"01 14 49.18","-00 58 27.5",5.7,"F5V",7476
5862,"01 15 10.57","-45 31 55.5",4.97,"F8V",7570
5878,"01 15 28.29","+20 24 52.6",6.99,"A2",7511
5886,"01 15 35.62","+00 54 44.8",6.71,"A2",7551
5896,"01 15 45.50","-68 52 34.5",4.25,"F6IV",7788
5914,"01 16 05.03","+25 46 09.7",6.76,"N0",7561
5926,"01 16 11.90","+71 44 37.8",5.87,"K1V",7389
5927,"01 16 12.09","-42 00 34.8",6.58,"K2III",7706
5928,"01 16 12.60","+87 08 44.0",6.2,"K2III:",6319
5936,"01 16 18.90","+33 06 53.3",6.04,"K1III",7578
5939,"01 16 24.49","+48 04 56.1",6.61,"B9IIIsp...",7546
5942,"01 16 27.78","+23 35 22.1",6.69,"A0",7615
5943,"01 16 28.90","-67 25 51.9",6.91,"F2IV/V",7858
5944,"01 16 29.34","+42 56 22.2",6.59,"G0",7590
5947,"01 16 31.04","+79 54 35.5",6.27,"F5Vs",7238
5951,"01 16 36.35","-02 30 00.8",5.42,"G5III-IVe",7672
5985,"01 16 58.86","-02 16 43.7",6.52,"F8",7727
5992,"01 17 03.68","-66 23 52.4",6.23,"A0V",7916
5993,"01 17 05.05","+44 54 07.5",6.11,"K5",7647
6010,"01 17 16.61","+39 28 50.0",6.69,"B9",7669
6025,"01 17 24.14","+31 44 40.6",6.36,"K0",7724
6027,"01 17 26.29","+57 37 55.5",6.86,"B2IIIne+...",7636
6039,"01 17 34.99","-65 12 42.4",6.92,"M4III",7974
6047,"01 17 41.77","+44 37 54.9",6.78,"K5",7722
6048,"01 17 42.35","-07 39 34.4",6.8,"A2",7812
6057,"01 17 45.25","+56 37 53.9",6.68,"K1III-IV",7666
6060,"01 17 47.96","+49 00 30.5",6.99,"A0+...",7710
6061,"01 17 47.98","+03 36 52.3",5.13,"A3V",7804
6087,"01 18 10.14","+47 25 11.0",6.29,"K0",7758
6093,"01 18 13.89","+57 48 11.4",6.39,"M5",7733
6099,"01 18 18.67","+67 48 59.2",6.68,"A0",7665
6133,"01 18 42.19","+72 52 40.7",6.99,"G5",7646
6137,"01 18 44.16","-43 19 58.5",6.78,"K3III",8001
6139,"01 18 45.94","+72 24 05.2",6.87,"G5",7655
6140,"01 18 47.02","+37 23 10.7",6.44,"A5m",7853
6193,"01 19 27.98","+27 15 50.7",4.74,"A3V",7964
6198,"01 19 29.36","+80 53 39.1",6.7,"A0",7505
6226,"01 19 48.29","-00 30 32.4",5.87,"A7V...",8036
6229,"01 19 51.74","+58 12 29.3",6.99,"B6Ib",7902
6234,"01 19 57.73","-15 48 50.7",6.7,"G0V",8071
6237,"01 20 02.97","-09 53 01.0",6.65,"F2",8070
6241,"01 20 04.90","+41 58 14.4",6.95,"F0",8007
6242,"01 20 04.92","+58 13 53.8",4.95,"F0Ia",7927
6261,"01 20 19.45","+77 34 13.7",6.31,"G5III...",7732
6272,"01 20 27.84","-11 14 19.7",6.16,"K1III",8121
6283,"01 20 34.57","-03 14 49.2",6.26,"K1III",8120
6288,"01 20 40.63","-13 53 24.0",6.84,"K0III",8142
6312,"01 21 05.19","+64 39 29.5",6.33,"A2Vnn",8003
6315,"01 21 07.35","+28 44 18.2",5.23,"K5III",8126
6331,"01 21 17.50","-06 09 34.0",6.78,"G0",8202
6333,"01 21 18.39","-49 44 29.9",6.75,"F3/F5IV",8296
6334,"01 21 19.23","+11 32 12.3",6.89,"F0",8187
6336,"01 21 24.59","-50 56 12.9",6.6,"K0III",8315
6369,"01 21 48.88","-66 23 02.8",6.94,"A0m...",8437
6371,"01 21 51.94","+50 07 19.2",6.54,"K0",8160
6376,"01 21 58.28","+12 36 15.0",6.97,"K0",8250
6378,"01 21 58.94","+76 14 20.0",6.37,"F0IVn",7925
6393,"01 22 09.24","-37 03 05.6",6.71,"A9V",8351
6401,"01 22 12.59","+43 35 02.9",6.69,"B5",8209
6405,"01 22 17.53","+18 40 57.8",6.96,"G3V",8262
6411,"01 22 20.39","+45 31 43.5",4.87,"K0III-IV",8207
6427,"01 22 30.52","-19 04 51.8",6.35,"F5/F6V",8350
6429,"01 22 34.82","-00 26 58.7",6.5,"K0III:",8335
6432,"01 22 36.91","+01 43 35.2",6.21,"M0III",8334
6440,"01 22 43.01","-36 35 47.3",6.71,"K1III",8410
6441,"01 22 43.48","+04 44 17.8",6.87,"G5",8333
6451,"01 22 53.58","+11 21 59.8",6.77,"K0",8356
6477,"01 23 17.15","-33 32 52.8",6.8,"K5III",8474
6480,"01 23 18.07","+36 30 52.8",6.8,"B8",8346
6486,"01 23 21.27","+58 08 35.6",6.36,"F4V",8272
6492,"01 23 24.95","+20 28 08.4",5.97,"K5",8388
6502,"01 23 30.97","-30 56 43.8",5.84,"M0III",8498
6507,"01 23 34.94","-24 21 10.0",6.66,"A9V",8487
6512,"01 23 37.31","+34 14 44.2",6.28,"G8IV",8375
6514,"01 23 40.56","+37 42 54.0",5.6,"A1m",8374
6522,"01 23 46.82","+78 43 33.8",6.07,"A0Iab",8065
6527,"01 23 50.82","+17 49 06.4",6.59,"F0",8442
6537,"01 24 01.45","-08 10 57.9",3.6,"K0III",8512
6539,"01 24 02.43","-08 00 26.1",6.21,"F0V",8511
6551,"01 24 12.19","-31 48 42.4",6.85,"F8V",8581
6560,"01 24 18.68","+43 08 31.6",6.69,"A2p...",8441
6564,"01 24 20.48","-06 54 52.8",5.92,"F4V",8556
6589,"01 24 39.91","-15 39 37.5",6.17,"G8III/IV",8589
6591,"01 24 40.26","-34 08 24.2",6.69,"K0III",8629
6592,"01 24 40.77","-41 29 32.9",5.42,"K0III",8651
6595,"01 24 41.92","-44 31 42.7",6.26,"K1II",8681
6605,"01 24 48.67","-02 50 54.7",6.17,"G8III",8599
6624,"01 25 00.58","-05 56 47.1",6.76,"A0",8627
6631,"01 25 05.28","-64 22 10.0",5.92,"M0III",8810
6649,"01 25 19.11","+16 15 25.5",6.99,"K5III",8626
6669,"01 25 35.66","+23 30 41.7",6.18,"F5III",8634
6670,"01 25 37.21","-14 35 55.5",4.9,"K2III",8705
6679,"01 25 40.64","+02 58 19.5",6.99,"F0",8686
6685,"01 25 46.30","+70 58 47.7",6.34,"A0Vnn",8424
6686,"01 25 48.60","+60 14 07.5",2.66,"A5Vv SB",8538
6687,"01 25 52.33","-03 55 38.4",6.5,"K0",8713
6690,"01 25 55.17","-08 30 15.6",6.57,"G5",8728
6692,"01 25 55.90","+68 07 47.8",4.72,"K0III",8491
6702,"01 26 08.62","+34 34 47.7",6.34,"F7V",8673
6706,"01 26 15.28","+19 10 20.4",5.35,"F2V:var",8723
6711,"01 26 18.60","+43 27 28.4",5.98,"F7V",8671
6714,"01 26 23.56","+20 04 15.2",6.44,"K0",8733
6717,"01 26 27.32","-00 23 56.3",6.42,"K0IV",8779
6732,"01 26 41.65","+19 14 26.0",5.5,"K1III",8763
6733,"01 26 43.01","+43 41 31.1",6.9,"F2",8710
6736,"01 26 43.78","+27 14 48.1",6.75,"K0III",8747
6748,"01 26 51.56","-13 03 23.5",5.51,"F0V",8829
6751,"01 26 53.55","+03 32 08.5",6.59,"B9V",8803
6760,"01 26 58.03","-41 44 50.5",6.67,"K3III",8901
6759,"01 26 58.10","-32 32 35.2",6.57,"C",8879
6771,"01 27 04.86","-30 14 09.0",6.71,"K0/K1III",8887
6776,"01 27 06.21","+34 22 39.3",6.27,"F7IVsvar",8774
6789,"01 27 23.31","-22 20 16.9",6.43,"K0/K1III",8896
6791,"01 27 25.15","-20 21 06.7",6.89,"F3IV",8895
6794,"01 27 26.67","+41 06 04.0",6.42,"Am...",8801
6797,"01 27 28.28","-09 17 49.5",6.86,"K0",8877
6799,"01 27 29.34","-45 50 46.5",6.96,"K4/K5III",8963
6811,"01 27 37.72","+66 04 37.1",6.98,"K2II:p",8701
6813,"01 27 39.09","+45 24 25.0",4.83,"F5IV",8799
6819,"01 27 42.73","+31 58 00.3",6.78,"K0",8847
6822,"01 27 46.44","-10 54 05.8",6.13,"K0",8921
6823,"01 27 46.88","+40 20 09.0",6.59,"A0III",8837
6835,"01 27 59.44","-22 02 13.0",6.57,"K0III",8959
6858,"01 28 12.38","+44 02 57.4",6.65,"B9",8862
6859,"01 28 16.08","-12 14 45.6",6.91,"F3IV/V",8972
6861,"01 28 18.87","-49 00 21.1",6.96,"G3II/III",9067
6862,"01 28 19.12","+30 33 28.2",6.9,"F5",8909
6867,"01 28 21.94","-43 19 03.8",3.41,"K5II-III",9053
6868,"01 28 22.85","+07 57 40.9",6.22,"K1IIIvar",8949
6869,"01 28 24.29","+17 04 45.6",6.6,"F8IV-V",8941
6878,"01 28 34.32","+42 16 04.5",6.66,"F8",8907
6888,"01 28 43.52","-33 45 50.0",6.59,"A9/F0V",9065
6909,"01 28 57.43","-17 56 14.4",6.66,"F3/F5V",9061
6915,"01 29 03.11","+07 17 39.2",6.54,"F2",9024
6939,"01 29 23.49","+25 16 31.2",6.66,"K2III",9033
6952,"01 29 30.54","-46 45 23.3",6.25,"M3III",9184
6957,"01 29 32.23","-09 29 20.8",6.88,"G5",9101
6960,"01 29 36.10","-21 37 45.6",5.11,"A0V",9132
6966,"01 29 41.17","+22 49 34.4",6.77,"A4V",9071
6971,"01 29 42.79","-25 37 04.0",6.37,"K1III",9151
6974,"01 29 46.71","+65 10 15.8",6.71,"K2",8928
6981,"01 29 52.83","+18 21 20.4",6.01,"A4IV",9100
6984,"01 29 53.66","-05 35 45.1",6.69,"F5",9139
6999,"01 30 06.10","+47 00 26.6",5.27,"K0III",9057
7007,"01 30 10.94","+06 08 38.2",4.84,"K4III",9138
7013,"01 30 18.29","+59 46 55.3",6.91,"K3III",9022
7016,"01 30 22.88","-26 12 28.3",5.92,"K2III",9228
7050,"01 30 52.01","+66 05 53.2",6.15,"A2Vs",9030
7057,"01 30 58.96","+49 20 36.1",6.84,"K0",9137
